win,champion_100_1,champion_100_2,champion_100_3,champion_100_4,champion_100_5,champion_200_1,champion_200_2,champion_200_3,champion_200_4,champion_200_5
0,68,107,7,21,3,897,163,18,81,89
0,150,91,103,145,12,221,107,234,517,526
1,24,876,42,145,526,85,107,234,221,78
0,58,107,7,21,201,36,80,61,81,111
0,84,107,517,221,117,68,104,80,51,201
0,58,76,42,111,119,145,107,103,36,526
0,69,107,18,221,43,58,876,236,81,235
1,58,60,80,145,555,897,76,246,119,89
1,266,79,42,81,147,114,136,64,18,111
1,2,76,20,221,12,23,154,7,81,89
1,18,76,85,202,89,68,203,69,81,201
1,107,427,51,63,429,85,897,266,111,875
0,110,145,62,40,111,43,80,221,44,9
1,897,876,18,21,78,80,120,84,145,44
1,27,30,42,81,12,58,104,163,145,111
1,420,64,50,81,9,68,421,236,202,57
0,68,5,50,145,201,85,203,517,119,518
1,4,143,18,81,201,897,234,7,145,497
0,77,163,236,81,89,82,203,3,202,78
1,897,131,236,145,555,4,63,18,221,111
0,68,200,163,221,12,77,876,18,81,89
0,897,104,4,202,111,150,876,42,221,497
0,64,143,42,222,111,77,234,9,145,89
1,68,64,18,202,555,85,234,42,22,147
1,127,64,887,22,53,897,234,7,202,89
1,72,76,7,81,201,36,107,268,145,89
1,117,203,39,157,526,107,84,3,81,89
0,77,234,18,221,89,85,876,236,145,111
0,79,76,18,81,78,4,30,42,15,89
0,114,5,7,119,526,126,91,142,221,89
0,85,421,166,145,111,68,234,39,81,201
1,19,120,79,145,526,143,80,147,81,89
0,36,234,145,110,201,48,876,777,51,89
0,68,30,166,81,111,122,154,238,221,117
1,68,30,18,145,12,85,234,42,202,89
1,150,63,236,22,147,164,143,42,81,89
0,150,61,37,498,235,57,145,53,555,121
1,101,53,910,421,69,122,45,78,7,145
1,78,30,42,81,147,23,154,238,429,254
1,23,876,221,119,412,85,63,18,145,526
0,897,104,7,81,43,68,63,238,145,111
1,150,234,84,81,910,42,76,238,145,497
0,51,76,910,145,101,777,35,18,21,76
0,67,131,221,81,78,901,234,103,145,910
0,143,24,236,221,497,84,234,163,81,526
1,80,876,234,145,89,777,79,42,22,201
0,4,68,234,81,89,77,200,18,145,526
0,897,234,85,221,89,68,113,18,145,12
1,58,245,777,145,12,897,63,18,221,201
0,68,200,7,221,201,897,64,18,145,526
0,897,234,61,81,89,62,876,777,221,12
0,24,77,85,221,526,68,234,81,13,78
0,76,517,412,901,39,202,96,432,145,80
0,58,876,18,145,526,126,30,24,81,89
0,24,103,234,81,89,80,887,42,145,111
0,777,245,131,81,89,58,30,42,221,78
0,150,234,245,111,21,154,141,42,145,12
1,58,64,18,145,111,78,876,777,81,63
1,42,203,497,221,142,23,64,1,202,89
0,85,113,18,221,350,897,245,42,81,43
0,68,64,103,202,89,85,876,234,22,98
1,150,876,221,21,526,236,234,3,81,111
0,897,245,18,81,89,150,68,42,221,497
0,897,234,157,81,526,150,200,112,51,147
1,58,143,42,145,78,77,234,142,89,221
1,221,63,14,145,111,266,113,3,81,201
1,266,143,23,221,53,421,120,1,22,201
0,266,64,236,221,235,897,234,61,145,12
0,516,876,18,81,89,887,64,42,221,497
0,150,131,910,221,117,24,63,42,145,497
0,58,876,42,221,53,27,30,236,523,117
0,42,427,39,221,201,133,30,236,145,497
0,58,143,236,51,12,897,30,42,81,89
1,24,163,236,22,12,58,76,18,202,89
1,24,200,142,145,78,897,76,236,221,526
0,24,163,18,145,497,79,107,69,81,201
1,77,107,8,115,111,84,106,221,81,89
0,24,113,777,145,526,54,107,157,81,555
0,82,876,246,22,147,77,107,517,81,111
0,77,876,777,81,98,58,107,910,145,111
1,68,64,18,119,78,85,107,268,429,111
0,68,104,142,202,432,77,64,157,221,117
0,126,245,157,202,432,236,30,18,51,12
0,777,64,268,22,555,85,5,18,202,432
1,77,234,18,145,89,266,64,268,81,154
0,58,35,7,81,147,78,76,236,221,497
1,126,234,3,81,89,56,876,221,145,201
1,150,76,236,51,201,24,876,42,145,555
0,875,76,777,221,89,23,113,234,115,526
0,122,63,18,202,12,19,876,777,145,497
0,78,234,163,21,111,58,63,18,51,201
0,85,113,157,221,12,164,254,268,21,526
0,68,163,42,221,526,516,64,20,81,89
1,267,223,166,498,54,67,55,37,119,85
1,68,63,42,81,201,64,234,221,22,117
0,58,76,236,21,12,24,131,157,22,526
1,266,35,18,412,145,133,64,131,498,117
0,75,20,236,221,117,875,76,142,145,111
0,43,63,236,221,497,58,876,18,145,555
1,897,76,42,21,526,150,64,268,236,89
1,85,64,18,145,147,126,76,236,429,201
1,113,104,142,145,89,897,876,42,22,78
1,897,104,7,145,78,221,64,127,498,164
0,79,254,21,3,89,526,64,142,221,36
1,85,234,18,21,526,42,64,777,221,497
0,126,35,61,221,89,36,30,236,145,111
1,114,234,79,81,43,266,131,157,145,201
0,58,163,236,145,12,24,876,42,221,89
0,36,143,236,115,526,79,234,42,22,12
0,114,234,517,202,497,897,141,63,22,78
0,14,143,236,81,89,266,76,42,145,111
1,157,39,79,5,901,104,517,235,147,36
0,36,517,119,145,526,887,9,497,498,18
1,24,876,18,115,555,85,67,42,234,89
1,126,427,18,115,432,133,76,897,202,497
0,150,63,517,145,526,78,64,84,21,12
0,24,143,42,235,111,133,234,268,81,89
1,150,266,42,145,89,897,203,61,81,32
0,150,63,42,235,516,266,64,268,145,89
0,150,113,268,221,117,24,104,163,119,111
1,24,30,236,145,497,150,63,18,22,12
0,85,200,42,221,117,126,30,18,51,99
0,78,58,163,81,23,236,150,412,876,221
0,126,64,89,145,27,42,78,901,150,876
1,103,897,64,81,89,51,777,876,150,201
0,113,24,236,498,497,76,89,81,777,85
0,202,12,76,150,236,63,157,22,69,526
1,85,201,81,113,42,254,145,150,221,497
1,234,21,136,201,150,432,517,119,19,203
0,68,63,236,81,12,221,150,497,102,777
1,64,61,517,432,51,50,164,221,555,876
0,145,526,113,221,41,42,58,201,63,81
0,89,901,236,79,57,145,12,143,42,897
1,64,24,497,115,221,893,526,897,145,234
1,111,76,221,266,22,36,267,245,18,236
0,85,266,145,111,64,3,81,555,8,234
0,154,64,902,897,523,89,221,234,92,69
0,238,24,221,12,200,498,120,526,136,897
1,136,266,221,43,64,81,18,201,143,92
0,136,11,22,78,117,234,81,86,89,34
1,254,145,42,111,68,154,777,92,22,201
1,119,92,111,76,20,38,201,22,150,64
1,18,164,145,23,30,221,126,526,103,35
0,432,163,114,22,234,58,221,203,20,201
1,22,78,142,201,76,429,131,518,777,897
0,55,64,78,145,23,234,142,53,221,150
1,42,526,145,126,30,163,53,221,78,236
0,64,7,497,21,85,157,201,4,143,81
0,143,69,221,145,78,89,236,51,876,58
1,12,18,234,221,84,89,203,64,81,7
0,82,68,236,67,69,119,63,901,555,126
1,126,43,876,238,81,19,35,7,221,117
0,497,234,134,145,68,103,19,111,35,901
0,777,81,98,19,143,4,876,202,236,89
1,497,42,145,143,23,254,150,18,526,115
1,150,21,876,201,236,92,8,526,145,120
0,68,901,89,76,897,12,78,236,145,91
0,27,236,22,111,76,14,64,115,18,526
1,18,235,81,887,76,126,143,432,51,236
1,104,3,89,145,876,63,92,69,78,98
0,8,111,222,92,104,221,7,89,19,64
0,910,64,523,19,117,89,76,266,236,81
0,12,150,893,110,64,147,20,22,234,36
1,19,777,111,876,235,89,68,59,523,910
1,238,81,68,150,201,91,12,20,36,145
1,64,268,133,412,523,20,61,53,145,234
0,236,76,221,201,58,77,12,145,42,23
1,81,221,526,133,76,42,145,20,64,89
0,145,133,64,201,20,76,21,18,897,497
0,126,111,238,901,20,432,30,202,61,897
1,120,145,103,497,78,82,22,163,201,11
1,78,42,115,131,89,111,221,76,119,4
1,72,19,236,76,202,119,12,876,240,145
0,154,89,81,76,266,145,236,876,12,164
1,22,120,69,897,89,497,81,78,85,876
1,81,234,43,13,20,85,22,64,236,89
1,126,76,12,85,51,64,111,221,68,54
0,236,150,30,53,22,63,126,20,498,432
1,268,901,234,526,126,245,412,236,64,69
0,221,893,117,163,58,12,36,145,427,236
1,30,22,12,142,36,150,42,60,221,89
1,111,76,21,78,777,164,4,555,81,131
1,221,63,555,133,497,236,81,201,78,427
1,145,19,12,221,30,120,81,893,126,89
0,236,68,76,221,111,18,78,526,876,145
1,75,221,119,76,12,19,111,9,202,236
0,875,21,163,526,777,45,266,90,360,25
1,161,517,31,42,523,119,40,777,126,82
0,518,266,202,238,163,120,111,16,22,34
0,120,7,235,68,516,104,221,85,42,111
0,110,154,78,150,64,429,79,126,76,12
0,40,517,84,233,497,61,238,17,35,222
1,55,54,60,117,145,268,14,26,30,142
0,32,35,84,266,120,254,517,221,267,13
1,526,360,85,236,76,126,497,112,221,876
0,81,107,92,89,61,6,221,268,11,117
0,25,63,9,498,238,85,29,145,54,412
0,901,875,121,61,360,74,17,32,350,67
0,58,107,147,84,81,76,111,78,236,221
0,221,85,234,555,61,104,126,12,81,163
0,18,497,22,234,910,142,115,901,89,121
1,107,526,266,238,69,115,76,89,897,236
1,107,115,18,12,897,518,145,42,76,164
0,21,107,893,897,89,101,201,24,64,22
1,142,99,51,234,68,901,106,12,61,104
0,526,126,517,11,145,63,42,79,81,147
0,76,497,122,221,238,526,81,64,36,13
1,18,81,53,234,85,64,42,22,111,68
0,711,78,145,11,111,201,81,76,41,7
1,42,497,107,85,81,221,120,23,518,13
0,78,136,64,81,36,85,432,901,18,876
0,107,893,897,429,134,12,876,221,106,18
1,1,893,236,78,221,107,61,120,22,81
0,113,85,235,64,910,58,76,221,111,777
1,22,76,126,201,429,154,53,42,221,36
1,201,145,107,910,85,5,432,142,21,58
1,901,63,81,78,893,145,18,497,61,107
1,81,154,221,43,150,236,76,126,235,516
1,12,126,910,107,81,68,110,42,36,111
0,266,113,432,221,236,18,254,22,201,268
1,19,9,89,18,498,111,254,136,4,145
0,268,111,145,117,120,42,235,157,150,60
0,910,58,203,221,12,30,429,526,236,24
1,201,150,64,81,7,14,163,221,42,497
0,81,234,92,777,201,103,64,12,221,58
0,18,22,163,150,12,126,111,876,42,202
1,145,150,98,18,876,79,64,517,81,89
0,201,117,523,107,3,897,238,111,427,67
0,79,64,555,115,42,111,15,76,106,18
0,89,427,777,114,202,154,107,84,497,901
1,221,150,76,497,777,876,236,98,145,902
0,222,89,7,64,266,22,107,103,106,526
0,221,497,876,18,106,526,85,143,42,21
1,42,526,107,76,901,120,888,910,897,145
1,897,221,876,111,236,89,901,76,4,42
0,236,143,126,145,111,89,42,76,14,81
1,44,36,429,142,234,64,111,110,150,61
0,222,85,76,78,89,126,107,523,117,7
0,268,145,19,234,526,18,221,150,30,201
0,22,36,7,63,78,42,4,21,28,526
1,897,119,526,18,143,201,67,15,221,76
1,58,76,119,18,412,81,107,85,910,157
0,143,89,58,202,236,21,126,876,12,81
1,55,497,24,107,221,120,523,78,85,777
0,526,107,79,145,7,69,236,78,76,266
1,7,54,64,81,497,711,99,51,126,104
0,68,221,876,81,497,76,133,111,555,51
1,64,18,526,79,81,12,28,221,42,236
1,166,22,68,63,201,164,145,58,107,7
1,201,23,81,104,142,145,157,154,78,147
0,523,42,89,22,76,432,121,777,8,202
1,147,876,98,22,221,23,901,12,61,64
0,234,201,67,145,163,56,81,555,427,497
1,498,201,266,143,221,43,110,56,76,145
1,30,41,221,910,497,166,5,876,22,147
1,35,497,34,122,221,107,145,12,163,6
0,51,126,99,18,143,58,81,76,43,69
0,254,150,268,221,497,234,115,58,78,81
0,523,516,64,7,111,77,53,136,145,234
1,58,81,236,143,201,79,4,221,89,64
0,902,777,51,901,115,360,86,163,893,43
1,81,526,234,268,68,897,876,42,236,267
0,89,81,21,41,876,58,166,51,76,201
0,875,267,161,119,268,427,59,82,21,63
1,64,103,150,221,432,24,254,57,235,163
1,81,12,64,145,78,429,888,7,234,150
0,497,254,893,42,145,143,23,221,12,498
0,126,526,143,221,523,427,236,89,150,145
0,24,236,876,555,221,429,53,19,145,143
1,58,18,12,76,145,4,63,202,221,526
0,201,63,266,22,78,893,145,12,104,150
1,15,777,111,76,19,432,61,202,254,150
1,2,104,57,115,221,120,84,78,126,202
1,102,12,9,221,19,254,68,145,950,526
1,115,126,102,221,89,63,111,901,145,54
0,81,777,236,497,143,234,145,526,268,24
1,9,202,777,12,897,60,89,81,236,164
1,117,79,157,429,27,497,236,121,268,221
1,221,523,12,85,64,145,63,68,236,111
1,150,89,268,234,221,202,876,236,78,17
0,164,9,236,99,51,143,4,117,81,58
0,240,117,42,22,57,221,77,89,76,115
0,107,150,115,221,234,136,266,81,201,203
1,21,64,117,897,142,893,150,236,56,89
0,236,897,76,523,412,166,876,201,145,887
0,234,84,22,517,201,120,78,142,117,21
0,246,236,63,113,75,117,157,81,131,350
1,555,245,104,22,164,432,143,202,238,85
1,238,12,7,81,19,777,150,51,143,99
1,221,201,19,28,523,89,18,81,163,4
0,526,143,166,238,145,42,78,117,104,202
0,221,526,234,9,106,12,154,22,114,142
0,53,221,104,711,92,161,24,61,78,107
1,79,119,111,61,56,28,78,202,126,89
0,236,876,79,201,523,221,63,126,526,22
0,2,22,910,28,78,107,3,221,201,58
1,150,76,51,42,12,19,777,64,145,111
1,82,526,236,21,76,18,143,145,89,54
0,58,30,221,89,42,901,61,63,526,24
1,107,78,58,61,81,876,18,111,897,221
1,64,893,163,201,22,81,234,58,134,89
0,901,876,236,53,6,22,4,526,234,221
1,157,221,234,68,497,236,64,78,498,85
0,79,163,526,498,901,12,42,221,143,78
0,64,18,12,85,22,555,142,76,202,266
0,517,147,42,64,22,145,18,53,876,24
0,53,69,238,77,145,236,22,897,76,412
0,236,81,24,28,89,12,150,427,145,69
1,201,897,107,22,20,150,84,12,901,154
0,107,42,201,64,81,221,78,111,60,145
1,81,234,777,201,133,79,221,497,901,154
1,61,12,120,887,221,21,63,236,89,114
1,74,236,221,76,201,81,234,897,893,89
0,22,902,777,77,113,80,526,56,134,81
0,42,526,145,104,74,12,58,901,99,60
0,201,58,143,81,236,901,111,876,268,42
0,98,897,221,113,145,78,81,7,64,89
1,64,111,43,897,429,99,76,777,23,51
1,21,61,234,497,4,7,22,254,19,147
0,516,235,143,236,114,221,555,22,104,85
0,53,126,76,901,897,221,80,143,266,22
0,30,897,497,498,221,89,876,4,236,145
0,85,104,268,78,81,75,254,22,89,20
0,77,24,107,777,69,120,221,111,268,145
0,268,64,235,147,85,526,234,68,777,21
1,58,63,89,18,81,221,22,876,201,14
1,526,143,18,145,24,221,85,89,202,76
0,24,104,111,20,110,432,897,58,81,76
1,202,89,777,58,30,236,201,68,22,63
1,523,37,163,104,245,7,164,101,875,555
1,157,518,76,28,117,203,523,902,7,18
0,497,81,107,893,4,20,117,68,22,120
0,145,63,98,236,80,89,120,42,78,50
0,43,122,157,81,64,117,67,234,18,79
0,523,777,74,35,145,201,901,234,101,164
0,498,42,7,117,64,104,526,24,103,145
0,117,22,64,78,163,12,31,234,136,23
0,50,893,147,58,120,268,526,22,114,163
1,236,78,69,107,526,221,145,8,234,117
0,147,7,234,21,78,142,98,203,221,117
0,98,910,107,117,18,221,89,122,131,21
0,163,246,80,498,526,221,117,58,910,876
0,8,117,107,498,142,120,145,526,61,126
1,120,526,901,84,78,50,117,234,142,107
1,120,50,234,61,432,78,104,142,67,117
0,221,12,92,143,950,30,19,429,23,111
0,497,19,498,221,102,131,145,12,240,523
0,268,21,893,201,64,76,126,235,516,78
1,127,104,12,81,58,234,145,516,61,111
1,18,777,89,28,67,555,102,145,236,14
0,7,64,497,221,154,234,103,81,266,89
1,518,901,89,62,234,516,145,254,19,142
0,126,117,61,221,154,516,111,145,104,78
1,201,22,63,23,126,35,84,221,497,85
0,897,89,268,222,234,61,201,104,777,22
0,81,126,43,236,876,99,31,203,202,54
1,115,41,64,43,81,22,103,910,104,150
0,234,221,497,28,23,104,901,526,145,85
1,68,526,145,234,221,81,126,76,12,910
0,221,58,134,64,117,24,234,22,61,147
0,12,876,81,5,236,221,202,526,17,76
0,111,119,76,221,58,56,236,143,22,89
0,526,145,236,79,876,42,154,63,89,22
1,164,145,57,85,203,517,221,76,910,126
0,81,518,145,79,64,266,51,76,201,21
0,42,81,78,53,76,147,234,268,154,22
0,134,53,711,79,950,72,555,3,32,7
0,876,897,432,81,236,64,497,901,221,20
1,68,526,427,145,78,901,64,24,103,117
1,201,78,63,81,69,221,68,555,89,31
0,19,126,154,221,412,42,78,102,62,145
0,104,150,145,111,268,498,901,25,61,64
1,221,58,201,76,236,126,103,21,89,234
0,22,143,221,497,150,81,126,102,20,555
0,64,201,268,126,22,234,81,39,526,18
0,85,7,22,200,15,12,41,115,236,234
0,42,150,89,163,221,18,497,57,68,202
1,201,68,42,234,22,18,81,133,63,497
1,897,64,145,80,85,21,14,111,901,60
0,526,145,36,120,910,4,81,78,234,68
1,103,266,64,21,89,111,202,221,68,254
1,80,875,86,901,122,555,202,25,51,202
0,221,143,157,497,150,24,876,164,18,22
1,81,221,37,104,63,10,80,12,517,36
1,497,42,154,517,145,81,236,58,201,76
1,120,901,50,102,63,67,51,58,142,75
1,202,102,60,236,89,58,777,113,910,22
0,221,58,21,201,76,429,427,236,32,897
1,81,78,76,526,236,89,21,221,876,4
0,157,221,63,497,897,2,876,201,236,22
1,517,57,154,238,238,223,236,238,107,221
0,236,526,81,143,68,131,77,12,221,115
0,201,17,221,81,121,901,64,89,42,19
0,31,89,221,777,143,145,236,12,113,102
1,236,876,19,221,497,89,18,523,68,64
1,111,901,143,19,81,18,12,163,42,221
1,145,234,12,268,114,24,498,777,68,9
1,126,96,777,102,117,876,901,221,40,22
0,901,221,89,85,102,126,18,432,202,876
1,85,145,64,12,157,126,497,254,115,21
0,901,897,9,236,201,164,81,42,89,60
1,777,901,26,876,897,887,22,221,254,111
1,12,222,150,245,9,497,102,41,517,81
0,76,266,145,42,53,142,164,201,22,254
0,777,98,21,876,92,81,221,89,35,78
0,78,145,4,57,427,143,42,12,901,81
1,78,76,18,115,4,69,42,154,236,111
1,875,76,21,89,42,63,78,64,202,98
1,18,68,555,234,22,221,51,235,19,876
1,897,236,887,22,201,81,113,68,51,526
1,131,777,81,89,24,236,145,111,92,30
1,236,78,81,143,58,234,893,221,111,85
1,114,81,63,89,236,202,876,13,78,221
0,126,202,236,63,111,81,268,24,89,121
1,235,150,234,893,45,18,22,19,427,526
1,201,41,523,76,18,62,145,3,127,64
1,64,43,54,202,7,85,120,92,412,22
