match_id,team_gold_100,team_gold_200,team_damage_100,team_damage_200,team_vision_100,team_vision_200,team_kills_100,team_kills_200,team_deaths_100,team_deaths_200,team_assists_100,team_assists_200,win,champion_100_1,champion_100_2,champion_100_3,champion_100_4,champion_100_5,champion_200_1,champion_200_2,champion_200_3,champion_200_4,champion_200_5
KR_7073378667,32884,25236,324871,266104,70,81,16,8,8,16,26,10,1,8,76,777,22,147,72,5,7,221,497
KR_7073468096,45131,56803,641412,687396,111,151,14,31,31,14,17,48,0,74,30,238,21,26,4,234,163,523,497
KR_7073500163,87495,84225,1350107,1329850,224,293,41,44,44,41,68,70,1,74,57,18,110,26,72,517,126,22,68
KR_7076789963,54192,38831,634855,425239,164,150,32,11,11,32,52,25,1,887,33,157,22,902,875,72,136,81,89
KR_7076901467,73244,75942,906951,985184,265,242,42,34,34,42,84,71,0,427,421,163,429,111,85,245,18,22,12
KR_7076998343,45290,58219,549650,625057,127,169,17,35,35,17,27,71,0,777,163,238,42,412,58,421,910,22,147
KR_7077090230,52487,60143,652214,770225,196,206,22,33,33,22,36,68,0,72,876,163,81,16,68,60,18,145,111
KR_7077157570,31383,24850,304620,250888,81,65,18,5,5,18,19,5,1,164,121,163,42,12,69,203,103,145,53
KR_7077176937,62631,49498,742676,659750,139,151,37,24,24,37,56,25,1,39,107,103,429,78,75,76,126,111,42
KR_7077204327,56005,41678,736383,525936,156,134,28,13,13,28,46,21,1,72,64,18,115,902,82,63,777,57,235
KR_7077251754,42443,55520,622142,692576,134,176,10,31,31,10,8,49,0,420,876,126,42,89,79,163,777,429,12
KR_7077260614,102480,79620,1317436,831950,322,270,58,26,26,60,60,16,1,72,163,157,222,432,164,35,910,22,147
KR_7077321124,57644,50364,655706,674551,180,178,32,23,23,32,53,35,1,164,200,910,222,44,79,876,777,523,412
KR_7077321723,39770,48386,441349,538661,143,161,15,27,27,15,16,44,0,24,421,910,42,555,4,163,126,51,111
KR_7077329029,59609,54531,749052,725038,202,177,22,18,18,22,44,33,1,897,64,7,42,235,92,5,163,222,147
KR_7077389064,55140,41770,674925,543794,148,117,31,11,11,31,45,11,1,4,427,238,42,111,24,876,18,81,43
KR_7077411745,69682,55854,767310,517730,142,100,40,26,26,40,54,30,1,897,163,103,222,12,34,5,85,360,111
KR_7077444959,55459,46848,622134,489768,155,155,34,20,20,34,44,28,1,42,79,80,222,111,68,234,136,203,412
KR_7077467190,63093,61993,762714,732339,207,174,35,35,35,36,56,44,0,126,163,518,51,99,6,64,103,523,412
KR_7077497620,36705,50868,407130,551980,110,120,12,32,32,12,17,48,0,55,234,777,42,111,80,163,18,360,526
KR_7077514540,54597,69270,633550,847582,145,227,21,40,40,21,41,65,0,6,104,161,42,147,67,76,4,145,89
KR_7077518575,2535,2505,3243,3911,0,0,0,0,0,0,0,0,1,164,64,103,236,201,114,79,3,145,235
KR_7077532459,60299,53507,833789,556076,185,159,35,27,27,35,43,34,1,72,876,18,236,99,164,64,1,222,526
KR_7077547487,50350,44680,547100,615882,169,175,25,11,11,25,52,13,1,72,427,84,202,22,68,104,136,429,777
KR_7077557326,42208,32148,410436,363540,98,99,20,10,10,20,31,13,1,4,44,777,81,147,85,76,42,22,432
KR_7077585893,55388,60972,705725,756346,228,222,22,29,29,22,40,57,0,236,234,103,29,98,34,63,157,222,111
KR_7077592612,35072,44785,424571,541863,125,115,12,24,24,12,11,32,0,164,104,518,523,111,24,76,18,29,117
KR_7077593304,32606,22897,365756,230845,72,57,16,3,3,16,19,3,1,126,876,157,523,111,54,234,897,236,902
KR_7077605934,30554,37792,289653,363253,79,103,11,22,22,12,17,27,0,42,517,58,236,910,102,107,161,22,147
KR_7077619788,68898,63082,824114,896035,230,205,37,24,24,37,61,38,1,58,76,142,42,555,112,91,777,523,412
KR_7077624778,38074,39099,403701,445538,132,141,11,18,18,11,20,25,0,897,234,7,110,111,69,3,254,96,147
KR_7077650992,38269,51545,424788,582518,141,157,10,29,29,10,15,44,0,58,421,103,42,164,134,234,266,22,147
